"","id","sport_id","name","home_team_type","container","league_specials_count","event_specials_count","event_count","has_offerings","homeTeamType"
"2221",236061,1,"International - Baltic Cup U21","Team1","World",0,0,0,FALSE,"Team1"
"2222",263004,1,"Colombia - U20 League","Team1","Colombia",0,0,0,FALSE,"Team1"
"2223",263053,1,"Colombia - U20 League - Bookings","Team1","Colombia",0,0,0,FALSE,"Team1"
"2224",263052,1,"Colombia - U20 League - Corners","Team1","Colombia",0,0,0,FALSE,"Team1"
"2225",263063,1,"Brazil - Capixaba U20 - Bookings","Team1","Brazil",0,0,0,FALSE,"Team1"
"2226",263013,1,"Brazil - Capixaba U20","Team1","Brazil",0,0,0,FALSE,"Team1"
"2227",263062,1,"Brazil - Capixaba U20 - Corners","Team1","Brazil",0,0,0,FALSE,"Team1"
"2228",263069,1,"South Africa - Super League Women - Bookings","Team1","South Africa",0,0,0,FALSE,"Team1"
"2229",263068,1,"South Africa - Super League Women - Corners","Team1","South Africa",0,0,0,FALSE,"Team1"
"2230",262919,1,"South Africa - Super League Women","Team1","South Africa",0,0,0,FALSE,"Team1"
"2231",263075,1,"Greece - Super League Cup U19 - Bookings","Team1","Greece",0,0,0,FALSE,"Team1"
"2232",263006,1,"Greece - Super League Cup U19","Team1","Greece",0,0,0,FALSE,"Team1"
"2233",263074,1,"Greece - Super League Cup U19 - Corners","Team1","Greece",0,0,0,FALSE,"Team1"
"2234",263109,1,"Brazil - Goiano 2 U20","Team1","Brazil",0,0,0,FALSE,"Team1"
"2235",263169,1,"Qatar - U19 League - Bookings","Team1","Qatar",0,0,0,FALSE,"Team1"
"2236",263168,1,"Qatar - U19 League - Corners","Team1","Qatar",0,0,0,FALSE,"Team1"
"2237",263121,1,"Qatar - U19 League","Team1","Qatar",0,0,0,FALSE,"Team1"
"2238",263099,1,"Venezuela - Supercopa","Team1","Venezuela",0,0,0,FALSE,"Team1"
"2239",263191,1,"Venezuela - Supercopa - Corners","Team1","Venezuela",0,0,0,FALSE,"Team1"
"2240",263192,1,"Venezuela - Supercopa - Bookings","Team1","Venezuela",0,0,0,FALSE,"Team1"
"2241",263217,1,"Brazil - Brasileiro B U20","Team1","Brazil",0,0,0,FALSE,"Team1"
"2242",263268,1,"Brazil - Brasileiro B U20 - Corners","Team1","Brazil",0,0,0,FALSE,"Team1"
"2243",263269,1,"Brazil - Brasileiro B U20 - Bookings","Team1","Brazil",0,0,0,FALSE,"Team1"
"2244",263275,1,"Northern Ireland - Championship Women","Team1","Ireland",0,0,0,FALSE,"Team1"
"2245",263285,1,"Northern Ireland - Championship Women - Corners","Team1","Ireland",0,0,0,FALSE,"Team1"
"2246",263286,1,"Northern Ireland - Championship Women - Bookings","Team1","Ireland",0,0,0,FALSE,"Team1"
"2247",263297,1,"North Macedonia - U19 League","Team1","Macedonia",0,0,0,FALSE,"Team1"
"2248",263310,1,"Chile - Ascenso Women","Team1","Chile",0,0,0,FALSE,"Team1"
"2249",263364,1,"Chile - Ascenso Women - Corners","Team1","Chile",0,0,0,FALSE,"Team1"
"2250",263365,1,"Chile - Ascenso Women - Bookings","Team1","Chile",0,0,0,FALSE,"Team1"
"2251",263399,1,"UEFA - Nations League B Women","Team1","Europe",0,0,0,FALSE,"Team1"
"2252",263413,1,"UEFA - Nations League C Women - Corners","Team1","Europe",0,0,0,FALSE,"Team1"
"2253",263393,1,"UEFA - Nations League C Women","Team1","Europe",0,0,0,FALSE,"Team1"
"2254",263414,1,"UEFA - Nations League C Women - Bookings","Team1","Europe",0,0,0,FALSE,"Team1"
"2255",263409,1,"UEFA - Nations League B Women - Bookings","Team1","Europe",0,0,0,FALSE,"Team1"
"2256",263408,1,"UEFA - Nations League B Women - Corners","Team1","Europe",0,0,0,FALSE,"Team1"
